,filepath,x_centroid,y_centroid,x_min,y_min,x_max,y_max,detection_confidence
0,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2866.5,2485.0,2499,2134,3234,2836,0.7876893
1,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2863.5,2488.0,2513,2139,3214,2837,0.77861136
2,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2863.5,2490.5,2511,2133,3216,2848,0.7520898
3,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2824.0,2491.5,2478,2131,3170,2852,0.7373943
4,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2813.5,2491.0,2458,2131,3169,2851,0.7256582
5,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2810.0,2493.5,2467,2139,3153,2848,0.7118275
6,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2835.0,2492.5,2492,2134,3178,2851,0.7530355
7,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2793.5,2602.0,2460,2357,3127,2847,0.65890324
8,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2819.0,2555.5,2493,2271,3145,2840,0.656781
9,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2859.5,2485.5,2508,2132,3211,2839,0.77621806
10,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2857.5,2492.5,2502,2136,3213,2849,0.781476
11,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_01/sub_1/final_bee_0415_exp_01_air_cam1_2026-04-15_18-22-40.mp4,2846.0,2503.0,2500,2156,3192,2850,0.73947954
