,filepath,x_min,y_min,x_max,y_max,detection_confidence
0,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3055,1700,3685,2169,0.92428154
1,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3054,1699,3682,2169,0.9202903
2,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3054,1698,3682,2169,0.91243184
3,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3052,1701,3674,2169,0.89943814
4,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3047,1703,3667,2168,0.88597566
5,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3046,1704,3668,2169,0.8919355
6,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3033,1705,3653,2168,0.8715743
7,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3030,1706,3654,2168,0.86853653
8,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3027,1707,3654,2168,0.86263305
9,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3027,1709,3651,2169,0.8497484
10,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3026,1709,3647,2168,0.84760153
11,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3022,1711,3630,2168,0.8475753
12,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3022,1711,3636,2168,0.84259397
13,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3021,1711,3636,2168,0.8435452
14,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3026,1711,3643,2168,0.8496631
15,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3026,1710,3644,2168,0.8623456
16,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3024,1710,3639,2168,0.8566842
17,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3023,1709,3651,2169,0.86282444
18,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3023,1708,3655,2169,0.87038815
19,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_2/final_bee_test_cit_cam1_2026-04-08_17-14-18.mp4,3024,1709,3647,2169,0.8633396
